Wall time,Step,Value
1704981636.5883715,0,1.0898399353027344
1704981665.0964348,1,0.7936567068099976
1704981695.5473623,2,0.3087635934352875
1704981724.7601943,3,0.13615652918815613
1704981753.8181558,4,0.07443709671497345
1704981783.0799544,5,0.058671705424785614
1704981815.1169431,6,0.042192380875349045
1704981846.7708206,7,0.020776841789484024
1704981876.937506,8,0.019146395847201347
1704981906.810265,9,0.019538620486855507
1704981936.2939348,10,0.020234795287251472
1704981965.9771523,11,0.004023442044854164
1704981996.4103708,12,0.013649825938045979
1704982026.5703876,13,0.005513289477676153
1704982055.9342573,14,0.007092201616615057
1704982085.2176795,15,0.001989521784707904
1704982114.9245567,16,0.0011360166827216744
1704982143.9973125,17,0.0046715945936739445
1704982173.4455986,18,0.0113568976521492
1704982203.5268433,19,0.029348092153668404
1704982232.708401,20,0.002535770181566477
1704982262.0493305,21,0.0017569181509315968
1704982291.1775,22,0.0008499481482431293
1704982321.1828303,23,0.003322863718494773
1704982350.4916239,24,0.00201888638548553
1704982380.8778396,25,0.0010872831335291266
1704982410.3311627,26,0.0005644797929562628
1704982439.138767,27,0.0010979747166857123
1704982467.9454234,28,0.0006531613180413842
1704982497.4077196,29,0.0003667787241283804
