Wall time,Step,Value
1704982861.1248791,0,1.09989333152771
1704982895.4844472,1,1.0984989404678345
1704982931.9537678,2,1.096218228340149
1704982966.366945,3,1.0889695882797241
1704983000.8062434,4,0.9845712780952454
1704983034.9803045,5,0.6435191035270691
1704983070.1081374,6,0.333374947309494
1704983106.084683,7,0.14875942468643188
1704983140.9063208,8,0.08904987573623657
1704983175.141821,9,0.05314706265926361
1704983210.1662486,10,0.0407731719315052
1704983246.7382195,11,0.030855515971779823
1704983286.4272165,12,0.011567630805075169
1704983321.8919592,13,0.007950086146593094
1704983356.8070388,14,0.013256866484880447
1704983391.8088958,15,0.003307403065264225
1704983427.8148136,16,0.00558087695389986
1704983463.5126395,17,0.001775282435119152
1704983499.0278203,18,0.0019224868156015873
1704983534.2108724,19,0.001320808776654303
1704983569.683497,20,0.004251985810697079
1704983604.6975458,21,0.0014703914057463408
1704983639.5753722,22,0.0010037084575742483
1704983676.633592,23,0.0005638320581056178
1704983712.7931576,24,0.0005751625867560506
1704983748.2764323,25,0.0007284001912921667
1704983783.9982603,26,0.0010101073421537876
1704983819.4346359,27,0.00048400930245406926
1704983856.9651296,28,0.001520073041319847
1704983892.9888341,29,0.0018607181264087558
